date,country,admin1,market,commodity,unit,currency,price,source
2021-01-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2846.0,Synthetic Cambodia food price series
2021-02-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2867.0,Synthetic Cambodia food price series
2021-03-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2994.0,Synthetic Cambodia food price series
2021-04-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3029.0,Synthetic Cambodia food price series
2021-05-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2910.0,Synthetic Cambodia food price series
2021-06-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2898.0,Synthetic Cambodia food price series
2021-07-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2898.0,Synthetic Cambodia food price series
2021-08-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2826.0,Synthetic Cambodia food price series
2021-09-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2799.0,Synthetic Cambodia food price series
2021-10-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2758.0,Synthetic Cambodia food price series
2021-11-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2853.0,Synthetic Cambodia food price series
2021-12-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2907.0,Synthetic Cambodia food price series
2022-01-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2956.0,Synthetic Cambodia food price series
2022-02-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3074.0,Synthetic Cambodia food price series
2022-03-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3107.0,Synthetic Cambodia food price series
2022-04-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3083.0,Synthetic Cambodia food price series
2022-05-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3124.0,Synthetic Cambodia food price series
2022-06-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3033.0,Synthetic Cambodia food price series
2022-07-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3047.0,Synthetic Cambodia food price series
2022-08-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2953.0,Synthetic Cambodia food price series
2022-09-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2907.0,Synthetic Cambodia food price series
